Cluster,Households,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,other pulses,gram products,besan,other pulse products
0,14969526,0.0649633134695647,0.7858275909222968,0.0712175007593654,0.026721036481645286,0.027846769448789718,0.02342378891833792,0.05681954807973481,0.16155454294385668,0.05699564622229309,0.07357376216494786,0.07560606477445869,0.06661478453013961,0.12604804551137339,0.09143689780118378,0.1872119161850464,0.10413879178696578
1,122097166,0.1606967693627147,0.15054036376603516,0.1529341064781609,0.18358260120390113,0.19131676924455018,0.16092938994463787,0.10633833746368716,0.09024187439871972,0.08148675843011105,0.11248968671485292,0.0927011311531243,0.07352487496028408,0.09378769188234881,0.11808451309726462,0.13092599197415666,0.10041913992545075
2,20729114,0.1573155954886598,0.14737288786110547,0.1707569729871597,0.1797198932142924,0.18729132888004493,0.15754332156873777,0.05228595189557571,0.15110526630572038,0.30919562827478925,0.07278701113337922,0.07637441293015194,0.05023761057342733,0.11392815686409662,0.047268806021274146,0.037905606495403324,0.08891154950618198
3,10804261,0.02923522914957097,0.014797203434541793,0.011635658711315009,0.015512255544458608,0.016165772763865906,0.9126538803962477,0.1958907004922645,0.09531454741400147,0.05720435098338415,0.08060655200843672,0.07061465614920992,0.06311045947653948,0.11837494236674309,0.09921259095002107,0.112818121994068,0.10685307816533168
4,31168070,0.15582099010812692,0.14597274497979937,0.1786353469404407,0.1780124317350124,0.18551193360139026,0.15604655263523026,0.12230953298600995,0.07086009231457768,0.09772763358073883,0.10139814764715084,0.17519219058295885,0.15467111666893582,0.09529546683458046,0.031099233690682924,0.08946230775834944,0.06198427793601519
